DSS y Ruta Materna Perinatal,Fecha,Región en Salud,Región Salud,Municipio,NOMBRE DEL PRESTADOR - ESE,Servicios,"Problema trazador priorizado ",Fuentes,Responsable del diligenciamiento,"Identificación de Determinantes Sociales de la Salud										 ",Identificación de Determinantes Sociales de la Salud.,Categoría del determinante,Subcategoría,Determinante identificado,Descripción del hallazgo,Evidencia o fuente de información,Relación con el problema trazador,Nivel de incidencia,"Barrera identificada, marcacion multiple.",Oportunidad de mejora preliminar,Observaciones,Síntesis del análisis DSS,Determinante crítico identificado,Categoría principal asociada,Barrera más relevante,Relación con la Ruta Materna Perinatal,Oportunidad de mejora prioritaria,Insumo para Protocolo de Londres,Síntesis del análisis Ruta Materna,Motivo de canalización,Tipo de Canalización (Receptor) *,Comentarios Adicionales,Matriz de análisis de la Ruta Materno Perinatal,Número,Momento de la ruta,Atención clave,Actividad esperada,Indicador de seguimiento,Meta establecida (Ingrese la meta institucional o territorial esperada en  porcentaje),Meta alcanzada (Ingresa el resultado logrado en porcentaje),Brecha (Se calcula como meta establecida menos meta alcanzada),Semáforo,Evidencia o fuente de verificación,Cumplimiento,Brecha identificada (Describa la diferencia entre lo esperado y lo observado),Tipo de Barrera,Barrera de acceso o continuidad,Tipo de determinante,Determinante relacionado,Relación con el problema trazador,Nivel de criticidad,Oportunidad de mejora (Propongo una acción concreta para cerrar la brecha y fortalecer la ruta),Responsable sugerido,Observaciones
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Educación para la salud,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Educación para la salud,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Educación para la salud,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Valoración integral adolescencia,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Valoración integral adolescencia,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Valoración integral adolescencia,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Valoración integral adolescencia,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Salud sexual y reproductiva,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Salud sexual y reproductiva,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Salud sexual y reproductiva,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Salud sexual y reproductiva,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Salud mental y convivencia,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Salud mental y convivencia,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Salud mental y convivencia,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Salud mental y convivencia,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Educación para la salud,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Educación para la salud,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Educación para la salud,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Educación para la salud,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Valoración integral adolescencia,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Valoración integral adolescencia,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Valoración integral adolescencia,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Clasificación de riesgo neonatal,Valoración integral adolescencia,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Valoración integral juventud,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Valoración integral juventud,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Valoración integral juventud,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Valoración integral juventud,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Planificación familiar y SSR,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Planificación familiar y SSR,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Planificación familiar y SSR,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Planificación familiar y SSR,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Salud mental y consumo SPA,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Salud mental y consumo SPA,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Salud mental y consumo SPA,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Salud mental y consumo SPA,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Educación para la salud,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Educación para la salud,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Educación para la salud,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Inicio temprano de lactancia,Educación para la salud,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Valoración integral juventud,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Valoración integral juventud,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Valoración integral juventud,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Valoración integral juventud,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Planificación familiar y SSR,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Planificación familiar y SSR,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Planificación familiar y SSR,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Planificación familiar y SSR,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Salud mental y consumo SPA,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Salud mental y consumo SPA,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Salud mental y consumo SPA,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Salud mental y consumo SPA,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Educación para la salud,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Educación para la salud,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Educación para la salud,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Consejería en lactancia,Educación para la salud,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Valoración integral juventud,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Valoración integral juventud,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Valoración integral juventud,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Valoración integral juventud,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Planificación familiar y SSR,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Planificación familiar y SSR,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Planificación familiar y SSR,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Planificación familiar y SSR,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Salud mental y consumo SPA,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Salud mental y consumo SPA,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Salud mental y consumo SPA,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Salud mental y consumo SPA,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Educación para la salud,"Identificar riesgos y factores protectores físicos, mentales, sociales, laborales y familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Educación para la salud,"Ofertar anticoncepción, prevención de ITS, derechos sexuales y reproductivos y asesoría preconcepcional cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Educación para la salud,"Tamizar depresión, ansiedad, consumo SPA, violencias y riesgo suicida; activar ruta si aplica",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lactancia materna,Seguimiento de lactancia,Educación para la salud,"Promover hábitos saludables, autocuidado, actividad física, nutrición y prevención de violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Valoración integral adultez,"Valorar riesgo cardiovascular/metabólico, salud mental, salud bucal, SSR, hábitos y condiciones laborales/familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Valoración integral adultez,"Medir presión arterial, IMC, perímetro abdominal y solicitar/valorar pruebas según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Valoración integral adultez,"Realizar o gestionar tamizajes según sexo, edad y riesgo: cuello uterino, mama, colon y próstata cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Valoración integral adultez,"Educar en autocuidado, alimentación saludable, actividad física, cesación de tabaco, salud mental y adherencia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Detección temprana de riesgo cardiovascular y metabólico,"Valorar riesgo cardiovascular/metabólico, salud mental, salud bucal, SSR, hábitos y condiciones laborales/familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Detección temprana de riesgo cardiovascular y metabólico,"Medir presión arterial, IMC, perímetro abdominal y solicitar/valorar pruebas según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Detección temprana de riesgo cardiovascular y metabólico,"Realizar o gestionar tamizajes según sexo, edad y riesgo: cuello uterino, mama, colon y próstata cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Detección temprana de riesgo cardiovascular y metabólico,"Educar en autocuidado, alimentación saludable, actividad física, cesación de tabaco, salud mental y adherencia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Detección temprana de cáncer,"Valorar riesgo cardiovascular/metabólico, salud mental, salud bucal, SSR, hábitos y condiciones laborales/familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Control del puerperio,Detección temprana de cáncer,"Medir presión arterial, IMC, perímetro abdominal y solicitar/valorar pruebas según riesgo",,,,,,,,,,,,,,,,
